CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,Cluster_Id
12747.0,109,5,191.85000000000002,3,4,4,344,3
12748.0,70,96,1054.4300000000003,4,4,4,444,3
12749.0,130,3,67.0,2,3,3,233,0
12820.0,74,1,15.0,4,1,1,411,1
12821.0,214,1,19.92,1,1,2,112,0
12822.0,70,2,30.799999999999997,4,2,2,422,1
12823.0,74,3,1224.0,4,3,4,434,3
12826.0,71,2,37.3,4,2,3,423,1
12828.0,99,3,74.1,3,3,3,333,3
12830.0,91,5,1556.64,3,4,4,344,3
12831.0,262,1,34.199999999999996,1,1,2,112,0
12832.0,98,1,17.0,3,1,2,312,1
12833.0,145,1,15.0,2,1,1,211,0
12834.0,282,1,15.9,1,1,1,111,0
12836.0,137,2,18.6,2,2,2,222,0
12837.0,173,1,17.0,2,1,2,212,0
12839.0,71,7,77.9,4,4,3,443,3
12840.0,143,4,138.6,2,4,4,244,3
12841.0,89,10,193.17000000000002,3,4,4,344,3
12842.0,70,1,15.0,4,1,1,411,1
12843.0,159,7,113.24999999999999,2,4,4,244,3
12844.0,130,1,4.95,2,1,1,211,0
12845.0,267,3,283.54999999999995,1,3,4,134,0
12849.0,268,1,34.8,1,1,2,112,0
12851.0,96,1,4.16,3,1,1,311,1
12853.0,134,5,187.2,2,4,4,244,3
12854.0,78,2,151.7,4,2,4,424,1
12857.0,210,1,35.7,1,1,3,113,0
12864.0,138,1,17.4,2,1,2,212,0
12867.0,96,4,32.35,3,4,2,342,3
12868.0,185,3,69.2,1,3,3,133,0
12871.0,84,2,178.2,4,2,4,424,1
12873.0,282,1,68.0,1,1,3,113,0
12875.0,143,1,49.470000000000006,2,1,3,213,0
12877.0,78,7,170.14,4,4,4,444,3
12878.0,236,2,45.0,1,2,3,123,0
12879.0,81,2,183.6,4,2,4,424,1
12881.0,275,1,195.0,1,1,4,114,0
12883.0,89,1,17.85,3,1,2,312,1
12884.0,88,1,170.0,3,1,4,314,1
12885.0,123,1,19.8,2,1,2,212,0
12886.0,219,1,17.0,1,1,2,112,0
12888.0,214,2,106.56,1,2,4,124,0
12891.0,185,2,289.0,1,2,4,124,0
12895.0,86,1,19.8,3,1,2,312,1
12897.0,204,1,58.0,1,1,3,113,0
12901.0,81,20,5915.66,4,4,4,444,3
12902.0,264,1,17.700000000000003,1,1,2,112,0
12904.0,172,1,9.95,2,1,1,211,0
12906.0,78,2,79.19999999999999,4,2,3,423,1
12908.0,176,1,432.0,2,1,4,214,0
12909.0,87,4,107.16,3,4,4,344,3
12910.0,78,5,245.46,4,4,4,444,3
12913.0,282,1,15.299999999999999,1,1,1,111,0
12915.0,148,1,23.4,2,1,2,212,0
12916.0,138,3,171.5,2,3,4,234,3
12917.0,128,1,297.0,2,1,4,214,0
12919.0,116,3,167.8,3,3,4,334,3
12921.0,84,20,542.1,4,4,4,444,3
12922.0,161,1,13.2,2,1,1,211,0
12924.0,88,3,162.67000000000002,3,3,4,334,3
12925.0,74,1,10.2,4,1,1,411,1
12928.0,147,2,66.8,2,2,3,223,0
12930.0,78,2,25.2,4,2,2,422,1
12931.0,101,8,1607.62,3,4,4,344,3
12933.0,171,2,57.45,2,2,3,223,0
12935.0,109,3,46.95,3,3,3,333,3
12936.0,78,1,34.68,4,1,2,412,1
12937.0,71,3,37.1,4,3,3,433,3
12939.0,79,4,916.6400000000001,4,4,4,444,3
12940.0,87,1,17.0,3,1,2,312,1
12942.0,131,2,25.35,2,2,2,222,0
12947.0,143,4,99.1,2,4,4,244,3
12948.0,105,4,131.3,3,4,4,344,3
12949.0,114,7,98.96000000000001,3,4,4,344,3
12951.0,173,3,62.040000000000006,2,3,3,233,0
12952.0,78,1,14.850000000000001,4,1,1,411,1
12955.0,92,6,135.83999999999997,3,4,4,344,3
12957.0,71,5,75.36,4,4,3,443,3
12962.0,113,1,19.8,3,1,2,312,1
12963.0,84,1,15.0,4,1,1,411,1
12965.0,89,1,8.25,3,1,1,311,1
12968.0,112,1,15.0,3,1,1,311,1
12971.0,73,50,2395.4999999999995,4,4,4,444,3
12974.0,197,1,15.9,1,1,1,111,0
12976.0,211,1,19.8,1,1,2,112,0
12977.0,156,1,8.5,2,1,1,211,0
12980.0,157,5,2041.92,2,4,4,244,3
12981.0,133,1,34.68,2,1,2,212,0
12982.0,242,1,10.4,1,1,1,111,0
12987.0,73,2,37.2,4,2,3,423,1
12989.0,88,6,1121.4,3,4,4,344,3
12990.0,185,1,41.6,1,1,3,113,0
12991.0,112,1,42.5,3,1,3,313,1
12993.0,120,2,36.25,2,2,3,223,0
12994.0,120,2,35.7,2,2,3,223,0
12995.0,85,1,38.160000000000004,4,1,3,413,1
12997.0,88,2,61.6,3,2,3,323,1
12999.0,196,3,107.03999999999999,1,3,4,134,0
